sample	G000250675	G000284035	G000308355	G000308495	G000308515	G000308595	G000308615	G000308635	G000308655	G000308675	G000308695	G000308715	G000308755	G000308795	G000308835	G000308855	G000308875	G000380645	G000381925	G000482385	G000523235	G000526215	G000719275	G000720425	G001182745	G001310275	G001552855	G001612765	G001613465	G001613505	G001865855	G001886715
G000250675	0.0	0.1439972677010143	0.14454579255574918	0.16458568961130549	0.16649000080894194	0.14920186869775476	0.16444448255721478	0.1575007278903846	0.16176141703058444	0.16588999734008647	0.14567583250477312	0.11277153027327813	0.13731340769703904	0.14879653828970874	0.14413340509287687	0.1626713117108778	0.15538746269018533	0.20614803422095407	0.1647276191883803	0.16919601735379686	0.1618895934796406	0.15816716778873896	0.14454579255574918	0.16388673278008614	0.14447664245398006	0.15478339517664108	0.1875453682558158	0.1354445550245349	0.13474965273114503	0.16075672001725017	0.1608803419731769	0.1519441110959966
G000284035	0.1439972677010143	0.0	0.13299070380108735	0.1493656482703437	0.1536129770246426	0.1384072638152134	0.16163382842845864	0.1465540443824791	0.1521247168504155	0.14831771532510585	0.14054905923376748	0.1420934835652914	0.13683456830784047	0.13780044375207767	0.14567583250477312	0.1514976117267024	0.1515863458214206	0.1937778183340616	0.16388673278008614	0.16649000080894194	0.15285898399425568	0.15399771235160398	0.1330368445649096	0.1497793139374738	0.13018273707895478	0.13299070380108735	0.1822139479416005	0.137367112888101	0.13626005256370277	0.15019914925654398	0.1502838731882683	0.1420934835652914
G000308355	0.14454579255574918	0.13299070380108735	0.0	0.1633399694501828	0.16458568961130549	0.137367112888101	0.1629368469471747	0.14707923891732966	0.14700361014679197	0.16530271536355856	0.14042906250930987	0.14196678643951743	0.14196678643951743	0.11372174199905005	0.1503688530081405	0.15518465573915918	0.14903903600267077	0.19029990407213082	0.15908124566369586	0.17473420919524163	0.153517612256729	0.15631872843183792	6.876524537535733e-05	0.15966813605239916	0.1336435631838837	0.12337174839500975	0.18359294389370384	0.14379428183446086	0.14306221149005438	0.15276614352205242	0.14582031807795337	0.10060224944557417
G000308495	0.16458568961130549	0.1493656482703437	0.1633399694501828	0.0	0.15518465573915918	0.1575007278903846	0.17314499360718627	0.16444448255721478	0.1671032977917043	0.09768908410273036	0.16444448255721478	0.1661883740258039	0.15827980384405138	0.1629368469471747	0.16458568961130549	0.16788954902778874	0.17146052270908962	0.20614803422095407	0.18141890931546312	0.18248420820599642	0.16741512086339316	0.17333868898960092	0.1633399694501828	0.15045409028706602	0.15428976848637532	0.16416420643371987	0.19217632301500154	0.15884990402772292	0.15579753779692973	0.16773050001195755	0.17164267391763133	0.16588999734008647
G000308515	0.16649000080894194	0.1536129770246426	0.16458568961130549	0.15518465573915918	0.0	0.16253948943952423	0.1798952390351396	0.171279568592972	0.1779876458729147	0.15468397172209025	0.1671032977917043	0.17056741044833645	0.1675723607907451	0.17056741044833645	0.17373022502183444	0.1675723607907451	0.1745304529222208	0.20965246024319817	0.17845219899794473	0.18141890931546312	0.16970233337439367	0.17642117627437204	0.16458568961130549	0.1235038483166111	0.16201836329644703	0.16664205559826184	0.1914099891957548	0.1657420057279717	0.1647276191883803	0.1683722626678068	0.1768596637421287	0.16530271536355856
G000308595	0.14920186869775476	0.1384072638152134	0.137367112888101	0.1575007278903846	0.16253948943952423	0.0	0.1633399694501828	0.15295213257335638	0.15468397172209025	0.16214773208039912	0.13885686765059235	0.14553208202009316	0.14171507847648002	0.13824047896456126	0.15518465573915918	0.15739118406291952	0.153233447855052	0.19637495390973458	0.16201836329644703	0.16970233337439367	0.1579432496359754	0.1566361681820332	0.13747482835600822	0.15966813605239916	0.11482649864466132	0.14312798665532933	0.18168135030397525	0.14134165745300198	0.1420934835652914	0.15399771235160398	0.1515863458214206	0.14685295790631858
G000308615	0.16444448255721478	0.16163382842845864	0.1629368469471747	0.17314499360718627	0.1798952390351396	0.1633399694501828	0.0	0.1576107028848147	0.15954976568840207	0.17577633459464348	0.1618895934796406	0.1650136761971147	0.16458568961130549	0.1603891127515351	0.16430399060142298	0.1559010022093007	0.15053958661054134	0.2042487673703237	0.15862046467975388	0.1914099891957548	0.15105809515956659	0.1509710104330262	0.1629368469471747	0.17514631886777565	0.1608803419731769	0.17164267391763133	0.1937778183340616	0.1657420057279717	0.1650136761971147	0.15176465903259329	0.16112924474179402	0.16725876991087307
G000308635	0.1575007278903846	0.1465540443824791	0.14707923891732966	0.16444448255721478	0.171279568592972	0.15295213257335638	0.1576107028848147	0.0	0.13312935045908347	0.16515781907252292	0.15370866714815	0.1556944544580975	0.15390103251784037	0.14863602497141026	0.16075672001725017	0.15419207796837275	0.15053958661054134	0.20614803422095407	0.1589653350623862	0.18064642733961156	0.15304559133900408	0.1559010022093007	0.14700361014679197	0.16886356086232746	0.14895797128113286	0.1552858756094403	0.19066487244686536	0.15478339517664108	0.15332784987214199	0.15304559133900408	0.13164005309189497	0.15419207796837275
G000308655	0.16176141703058444	0.1521247168504155	0.14700361014679197	0.1671032977917043	0.1779876458729147	0.15468397172209025	0.15954976568840207	0.13312935045908347	0.0	0.1718260384060959	0.1560048505624465	0.1576107028848147	0.15674278721101942	0.14815989843232213	0.1606336444012858	0.1580549842767962	0.15088419458079905	0.2002837632246547	0.1608803419731769	0.18416475533750087	0.1566361681820332	0.15884990402772292	0.14700361014679197	0.17146052270908962	0.15313936239209291	0.16014670879485893	0.1892337414782933	0.1566361681820332	0.15390103251784037	0.15248945026301552	0.09456663303444635	0.15954976568840207
G000308675	0.16588999734008647	0.14831771532510585	0.16530271536355856	0.09768908410273036	0.15468397172209025	0.16214773208039912	0.17577633459464348	0.16515781907252292	0.1718260384060959	0.0	0.16125453564352632	0.1682104193809394	0.1589653350623862	0.16444448255721478	0.16664205559826184	0.16788954902778874	0.16953252701278054	0.20135756892871604	0.18331149045246675	0.18090149524762822	0.170045114455863	0.17276165040318747	0.16544837310472815	0.1567427872110193	0.15508380039810532	0.16544837310472815	0.19179042750957842	0.1603891127515351	0.1594318957121479	0.16788954902778874	0.1718260384060959	0.16970233337439367
