sample	G000164985	G000230915	G000236805	G000245715	G000374825	G000374845	G000377505	G000378145	G000381905	G000403375	G000426545	G000455265	G000520635	G000520755	G000520775	G000520795	G000520815	G000576305	G000585395	G000686825	G000732325	G000746875	G000756615	G000758685	G000758725	G000787385	G000949425	G001012825	G001275645	G001277345	G001277855	G001373415	G001403875	G001421015	G001514495	G001632305	G001705305	G001908275	G900102085	G900102215	G900102965	G900107875	G900110315	G900116035	G900116105	G900143165
G000164985	0.0	0.19548097665846076	0.10581626932804222	0.10311611504155005	0.2111960708480617	0.2230622378091801	0.20191117648963886	0.22863369998608363	0.21848034685629747	0.20081525058224203	0.20135756892871604	0.20305424423053064	0.19461587627164578	0.10151368519758219	0.0794598223555516	0.012125506127565466	0.10329613440613472	0.19925158384063568	0.21283605616404488	0.07906921185799254	0.19504493576192095	0.20305424423053064	0.19925158384063568	0.20247656137247616	0.20305424423053064	0.2042487673703237	0.1937778183340616	0.21041294301092828	0.19925158384063568	0.20965246024319817	0.07867695717149126	0.19548097665846076	0.19925158384063568	0.20247656137247616	0.19504493576192095	0.19683339702361868	0.10194908111268541	0.18275718116330775	0.20135756892871604	0.215506110747391	0.2002837632246547	0.19875010435662144	0.21369617331861324	0.07906215945702344	0.20486684018533552	0.19875010435662144
G000230915	0.19548097665846076	0.0	0.20081525058224203	0.2042487673703237	0.20965246024319817	0.22569785491234673	0.21369617331861324	0.21955230011181248	0.21369617331861324	0.19683339702361868	0.21283605616404488	0.1982578772270217	0.20749448656295377	0.20191117648963886	0.2054996839209604	0.19777456201755517	0.2036447812310651	0.19925158384063568	0.20749448656295377	0.215506110747391	0.19504493576192095	0.17514631886777565	0.19777456201755517	0.2002837632246547	0.20614803422095407	0.17892478797833045	0.2054996839209604	0.20891333007802315	0.15114545045330352	0.15399771235160398	0.2206703524694551	0.17333868898960092	0.14007208646060298	0.2042487673703237	0.20135756892871604	0.14707923891732966	0.21283605616404488	0.20247656137247616	0.23023767929669992	0.21200325796739594	0.2230622378091801	0.22183872209933808	0.21041294301092828	0.21283605616404488	0.20965246024319817	0.22569785491234673
G000236805	0.10581626932804222	0.20081525058224203	0.0	0.042032983569720295	0.21458549512565073	0.2111960708480617	0.2002837632246547	0.2337823393886067	0.21646034327688457	0.2002837632246547	0.1982578772270217	0.2042487673703237	0.20081525058224203	0.07311965631271977	0.08876575436503686	0.10585212071245897	0.10384303019443608	0.20191117648963886	0.215506110747391	0.09852559283170492	0.18595626246076324	0.19256783715906933	0.1997626761158554	0.20247656137247616	0.20819436817620252	0.20191117648963886	0.20247656137247616	0.2054996839209604	0.1982578772270217	0.20965246024319817	0.09849777791735992	0.19461587627164578	0.20305424423053064	0.20486684018533552	0.20135756892871604	0.2002837632246547	0.04567846662123576	0.19548097665846076	0.21041294301092828	0.215506110747391	0.22434646331744024	0.20749448656295377	0.20891333007802315	0.09842835781685222	0.20681268342427628	0.2042487673703237
G000245715	0.10311611504155005	0.2042487673703237	0.042032983569720295	0.0	0.21745078613628155	0.21646034327688457	0.18416475533750087	0.23789976787783396	0.21646034327688457	0.2036447812310651	0.19925158384063568	0.20305424423053064	0.20191117648963886	0.07151072839238903	0.09283693574613383	0.10303465783903754	0.10151368519758219	0.2036447812310651	0.21955230011181248	0.0962522461726143	0.20135756892871604	0.19875010435662144	0.20749448656295377	0.20749448656295377	0.21283605616404488	0.20965246024319817	0.20681268342427628	0.20614803422095407	0.2036447812310651	0.21369617331861324	0.09670585294778344	0.19875010435662144	0.20681268342427628	0.20891333007802315	0.1997626761158554	0.20305424423053064	0.03865605805890726	0.19875010435662144	0.2111960708480617	0.21848034685629747	0.22569785491234673	0.20891333007802315	0.21458549512565073	0.09620085729355521	0.21041294301092828	0.20486684018533552
G000374825	0.2111960708480617	0.20965246024319817	0.21458549512565073	0.21745078613628155	0.0	0.21955230011181248	0.20891333007802315	0.2230622378091801	0.19179042750957842	0.16953252701278054	0.21369617331861324	0.1520342688230285	0.22306223780918022	0.21458549512565073	0.2206703524694551	0.215506110747391	0.21283605616404488	0.21646034327688457	0.23023767929669992	0.21955230011181248	0.21041294301092828	0.1745304529222208	0.20965246024319817	0.21369617331861324	0.20614803422095407	0.21041294301092828	0.22863369998608363	0.22434646331744024	0.21200325796739594	0.21283605616404488	0.22183872209933808	0.21041294301092828	0.19103485352256033	0.2230622378091801	0.23789976787783396	0.2111960708480617	0.21369617331861324	0.2206703524694551	0.22569785491234673	0.18595626246076324	0.2111960708480617	0.22863369998608363	0.215506110747391	0.215506110747391	0.2111960708480617	0.23194869152907194
G000374845	0.2230622378091801	0.22569785491234673	0.2111960708480617	0.21646034327688457	0.21955230011181248	0.0	0.23023767929669992	0.24023901843713757	0.2206703524694551	0.22712396389056422	0.22434646331744024	0.21955230011181248	0.23023767929669992	0.21369617331861324	0.21369617331861324	0.22434646331744024	0.21458549512565073	0.21848034685629747	0.23575793245166765	0.215506110747391	0.21283605616404488	0.22863369998608363	0.21955230011181248	0.22569785491234673	0.2111960708480617	0.21955230011181248	0.19504493576192095	0.18416475533750087	0.21848034685629747	0.21955230011181248	0.22712396389056422	0.21458549512565073	0.21646034327688457	0.22434646331744024	0.215506110747391	0.21646034327688457	0.21745078613628155	0.2230622378091801	0.22712396389056422	0.21458549512565073	0.23575793245166765	0.22183872209933808	0.21745078613628155	0.21369617331861324	0.21646034327688457	0.2230622378091801
G000377505	0.20191117648963886	0.21369617331861324	0.2002837632246547	0.18416475533750087	0.20891333007802315	0.23023767929669992	0.0	0.23575793245166765	0.22712396389056422	0.22712396389056422	0.0313865910922585	0.20749448656295377	0.22863369998608363	0.1972998368395683	0.20486684018533552	0.1997626761158554	0.2002837632246547	0.23194869152907194	0.23575793245166765	0.20305424423053064	0.21283605616404488	0.21745078613628155	0.2230622378091801	0.22183872209933808	0.23023767929669992	0.22434646331744024	0.23194869152907194	0.23575793245166765	0.21369617331861324	0.2111960708480617	0.2036447812310651	0.21369617331861324	0.2206703524694551	0.2230622378091801	0.21369617331861324	0.2111960708480617	0.1997626761158554	0.21041294301092828	0.2111960708480617	0.2230622378091801	0.2230622378091801	0.20891333007802315	0.21646034327688457	0.20247656137247616	0.2111960708480617	0.2036447812310651
G000378145	0.22863369998608363	0.21955230011181248	0.2337823393886067	0.23789976787783396	0.2230622378091801	0.24023901843713757	0.23575793245166765	0.0	0.23194869152907194	0.21848034685629747	0.2337823393886067	0.22712396389056422	0.23023767929669992	0.23023767929669992	0.23023767929669992	0.23194869152907194	0.24023901843713757	0.22863369998608363	0.15285898399425568	0.23023767929669992	0.2337823393886067	0.22863369998608363	0.2230622378091801	0.2230622378091801	0.23789976787783396	0.22569785491234673	0.24023901843713757	0.23194869152907194	0.22863369998608363	0.23023767929669992	0.23575793245166765	0.22183872209933808	0.22434646331744024	0.20681268342427628	0.24281661068440852	0.22863369998608363	0.23194869152907194	0.22863369998608363	0.23575793245166765	0.23194869152907194	0.23194869152907194	0.23789976787783396	0.22306223780918022	0.22712396389056422	0.22863369998608363	0.23575793245166765
G000381905	0.21848034685629747	0.21369617331861324	0.21646034327688457	0.21646034327688457	0.19179042750957842	0.2206703524694551	0.22712396389056422	0.23194869152907194	0.0	0.19066487244686536	0.21646034327688457	0.1895844665761487	0.22434646331744024	0.21955230011181248	0.22434646331744024	0.21955230011181248	0.22306223780918022	0.21646034327688457	0.24023901843713757	0.2230622378091801	0.21283605616404488	0.1914099891957548	0.21283605616404488	0.22183872209933808	0.23194869152907194	0.20891333007802315	0.20749448656295377	0.22569785491234673	0.19925158384063568	0.2036447812310651	0.22712396389056422	0.20965246024319817	0.12574033051426659	0.22569785491234673	0.22569785491234673	0.21200325796739594	0.21646034327688457	0.21955230011181248	0.22712396389056422	0.19256783715906944	0.22569785491234673	0.21848034685629747	0.21955230011181248	0.2206703524694551	0.20681268342427628	0.21848034685629747
G000403375	0.20081525058224203	0.19683339702361868	0.2002837632246547	0.2036447812310651	0.16953252701278054	0.22712396389056422	0.22712396389056422	0.21848034685629747	0.19066487244686536	0.0	0.22569785491234673	0.18141890931546312	0.20486684018533552	0.2036447812310651	0.2054996839209604	0.2054996839209604	0.1997626761158554	0.2054996839209604	0.20486684018533552	0.21955230011181248	0.19875010435662144	0.1568498143377074	0.19592423374223866	0.19419357474022803	0.20749448656295377	0.17257196473927572	0.2111960708480617	0.20891333007802315	0.19683339702361868	0.2111960708480617	0.2206703524694551	0.1972998368395683	0.16902928866424327	0.20681268342427628	0.20614803422095407	0.19729983683956842	0.21646034327688457	0.20191117648963886	0.22569785491234673	0.18787470702802278	0.21848034685629747	0.22712396389056422	0.2111960708480617	0.215506110747391	0.2111960708480617	0.22434646331744024
G000426545	0.20135756892871604	0.21283605616404488	0.1982578772270217	0.19925158384063568	0.21369617331861324	0.22434646331744024	0.0313865910922585	0.2337823393886067	0.21646034327688457	0.22569785491234673	0.0	0.21041294301092828	0.22434646331744024	0.19461587627164578	0.20247656137247616	0.1972998368395683	0.20247656137247616	0.22863369998608363	0.2337823393886067	0.20081525058224203	0.20749448656295377	0.2111960708480617	0.21458549512565073	0.22183872209933808	0.22434646331744024	0.22434646331744024	0.23023767929669992	0.2337823393886067	0.21646034327688457	0.2111960708480617	0.2054996839209604	0.21200325796739594	0.21955230011181248	0.22183872209933808	0.20819436817620252	0.2111960708480617	0.19777456201755517	0.2111960708480617	0.21200325796739594	0.21848034685629747	0.22434646331744024	0.20965246024319817	0.21646034327688457	0.1997626761158554	0.20749448656295377	0.20891333007802315
G000455265	0.20305424423053064	0.1982578772270217	0.2042487673703237	0.20305424423053064	0.1520342688230285	0.21955230011181248	0.20749448656295377	0.22712396389056422	0.1895844665761487	0.18141890931546312	0.21041294301092828	0.0	0.21283605616404488	0.20965246024319817	0.20965246024319817	0.20819436817620252	0.20681268342427628	0.20749448656295377	0.2111960708480617	0.21848034685629747	0.20614803422095407	0.17056741044833645	0.19925158384063568	0.2054996839209604	0.19875010435662144	0.2036447812310651	0.21283605616404488	0.20819436817620252	0.19875010435662144	0.20305424423053064	0.2206703524694551	0.20135756892871604	0.1798952390351396	0.20681268342427628	0.20247656137247616	0.2042487673703237	0.21646034327688457	0.20614803422095407	0.22183872209933808	0.1844552421527602	0.20749448656295377	0.21955230011181248	0.21283605616404488	0.21458549512565073	0.21458549512565073	0.21745078613628155
G000520635	0.19461587627164578	0.20749448656295377	0.20081525058224203	0.20191117648963886	0.22306223780918022	0.23023767929669992	0.22863369998608363	0.23023767929669992	0.22434646331744024	0.20486684018533552	0.22434646331744024	0.21283605616404488	0.0	0.19683339702361868	0.21041294301092828	0.19637495390973458	0.20247656137247616	0.21646034327688457	0.2111960708480617	0.215506110747391	0.215506110747391	0.2036447812310651	0.06263832028608374	0.15518465573915918	0.18658075319529022	0.20614803422095407	0.2042487673703237	0.18416475533750087	0.2111960708480617	0.22183872209933808	0.22434646331744024	0.21200325796739594	0.20305424423053064	0.21458549512565073	0.21458549512565073	0.21283605616404488	0.2111960708480617	0.21283605616404488	0.23575793245166765	0.20819436817620252	0.18416475533750087	0.23789976787783396	0.07231471547470758	0.21369617331861324	0.22712396389056422	0.22863369998608363
G000520755	0.10151368519758219	0.20191117648963886	0.07311965631271977	0.07151072839238903	0.21458549512565073	0.21369617331861324	0.1972998368395683	0.23023767929669992	0.21955230011181248	0.2036447812310651	0.19461587627164578	0.20965246024319817	0.19683339702361868	0.0	0.09585636005167897	0.10106956122160726	0.09896019131135014	0.20081525058224203	0.21646034327688457	0.09686303411423325	0.1997626761158554	0.20749448656295377	0.18115897366472666	0.20891333007802315	0.20891333007802315	0.20891333007802315	0.19683339702361868	0.20305424423053064	0.20081525058224203	0.20891333007802315	0.09636820745463304	0.20081525058224203	0.2036447812310651	0.20891333007802315	0.20081525058224203	0.19925158384063568	0.0710721070754523	0.1982578772270217	0.20614803422095407	0.21041294301092828	0.21369617331861324	0.20891333007802315	0.20819436817620252	0.09683677763146137	0.2036447812310651	0.2054996839209604
