sample	G000011645	G000196735	G000275785	G000285535	G000518865	G000696615	G000701305	G000709935	G000715205	G000740655	G000740715	G000746035	G000747645	G000986655	G001017485	G001278705	G001439915	G001440465	G001457015	G001461825	G001461845	G001517185	G001578205	G001587325	G001617995	G001653905	G001663575	G001687195	G001975995	G900093775	G900094985	G900110305	G900119345	G900156245
G000011645	0.0	0.16919601735379686	0.1779876458729147	0.2042487673703237	0.22183872209933808	0.16902928866424327	0.18359294389370384	0.19592423374223866	0.18039372454331148	0.17577633459464348	0.17074373172604929	0.1766395421267748	0.1610045152113494	0.1773052906145417	0.18014334273862942	0.19029990407213082	0.20891333007802315	0.1753547194971926	0.18115897366472666	0.16970233337439367	0.1703922100111015	0.1675723607907451	0.1791641851338034	0.16919601735379686	0.1702181160447812	0.18595626246076324	0.17333868898960092	0.16902928866424327	0.1749394900626572	0.11773503791205142	0.18115897366472666	0.17238357846784702	0.18854567604447092	0.17074373172604929
G000196735	0.16919601735379686	0.0	0.049216500040524136	0.2036447812310651	0.22183872209933808	0.1346029238312526	0.18387734439954817	0.19461587627164578	0.18014334273862942	0.1420934835652914	0.049443203328180196	0.049193000426997924	0.13407128681752334	0.17577633459464348	0.17964937172669404	0.18658075319529022	0.20486684018533552	0.049876177998173565	0.18039372454331148	0.049476432901390144	0.04942423437482568	0.04936504696877797	0.1779876458729147	0.04978226427242283	0.04961933641676364	0.18595626246076324	0.13474965273114503	0.048249978558301376	0.0505582385406711	0.1657420057279717	0.18039372454331148	0.1361053576487894	0.18595626246076324	0.04950732764936072
G000275785	0.1779876458729147	0.049216500040524136	0.0	0.2337823393886067	0.23023767929669992	0.13470065914297213	0.18888751656182956	0.21745078613628155	0.1929651387025768	0.14260601341361945	0.01534742531047284	0.007567770956103836	0.13662430960300043	0.18854567604447092	0.19461587627164578	0.20247656137247616	0.2337823393886067	0.015396409353595097	0.18820810857879489	0.015540747487314488	0.01542881607775981	0.010576586880920336	0.19066487244686536	0.009417681685814694	0.010477535748800615	0.19066487244686536	0.12956268392436432	0.01728720338062495	0.014901371986389078	0.17775829698374046	0.18820810857879489	0.13474965273114503	0.1875453682558158	0.014678921138569834
G000285535	0.2042487673703237	0.2036447812310651	0.2337823393886067	0.0	0.215506110747391	0.20681268342427628	0.21646034327688457	0.1972998368395683	0.21200325796739594	0.215506110747391	0.20819436817620252	0.23194869152907194	0.2042487673703237	0.2042487673703237	0.20819436817620252	0.20965246024319817	0.13244275431992036	0.22569785491234673	0.215506110747391	0.2042487673703237	0.20486684018533552	0.2042487673703237	0.2042487673703237	0.2054996839209604	0.20749448656295377	0.21955230011181248	0.22569785491234673	0.20486684018533552	0.22183872209933808	0.20749448656295377	0.215506110747391	0.21848034685629747	0.2230622378091801	0.2111960708480617
G000518865	0.22183872209933808	0.22183872209933808	0.23023767929669992	0.215506110747391	0.0	0.22712396389056422	0.22863369998608363	0.20891333007802315	0.24023901843713757	0.2230622378091801	0.23789976787783396	0.23023767929669992	0.22306223780918022	0.22712396389056422	0.23023767929669992	0.22712396389056422	0.2206703524694551	0.22712396389056422	0.23023767929669992	0.22863369998608363	0.23023767929669992	0.22569785491234673	0.22434646331744024	0.22712396389056422	0.22712396389056422	0.22434646331744024	0.22306223780918022	0.22183872209933808	0.22863369998608363	0.21848034685629747	0.23023767929669992	0.2230622378091801	0.22863369998608363	0.23575793245166765
G000696615	0.16902928866424327	0.1346029238312526	0.13470065914297213	0.20681268342427628	0.22712396389056422	0.0	0.18090149524762822	0.19504493576192095	0.17892478797833045	0.060609831129602276	0.13133388272535684	0.13411920999710003	0.015124380163912376	0.1735337594722245	0.17775829698374046	0.18993981231191792	0.20614803422095407	0.1322624165997116	0.17753085588215212	0.13111718067766054	0.13116038983895129	0.13159611310012853	0.17642117627437204	0.13212790670848307	0.13186077246936956	0.1822139479416005	0.06063159476318636	0.13172813632356872	0.13494647347432964	0.16588999734008647	0.17753085588215212	0.01112575941504712	0.18194634616898941	0.13208321048315097
G000701305	0.18359294389370384	0.18387734439954817	0.18888751656182956	0.21646034327688457	0.22863369998608363	0.18090149524762822	0.0	0.20819436817620252	0.07225374578475252	0.18820810857879489	0.1872199929290459	0.18888751656182956	0.17964937172669404	0.011753153396437455	0.07425001314519286	0.20081525058224203	0.21955230011181248	0.1875453682558158	0.01251422847687833	0.1844552421527601	0.1844552421527601	0.18359294389370384	0.07429761790891953	0.1844552421527602	0.18416475533750087	0.07375497795627306	0.18387734439954817	0.18416475533750087	0.18787470702802278	0.1868984853325918	0.01251422847687833	0.18039372454331148	0.015129691356303376	0.1856493351152405
G000709935	0.19592423374223866	0.19461587627164578	0.21745078613628155	0.1972998368395683	0.20891333007802315	0.19504493576192095	0.20819436817620252	0.0	0.20191117648963886	0.2054996839209604	0.19925158384063568	0.21745078613628155	0.19461587627164578	0.19504493576192095	0.20081525058224203	0.2036447812310651	0.1997626761158554	0.21458549512565073	0.20486684018533552	0.19637495390973458	0.19777456201755517	0.19461587627164578	0.19592423374223866	0.19548097665846076	0.1997626761158554	0.21041294301092828	0.21848034685629747	0.19683339702361868	0.2111960708480617	0.2002837632246547	0.20486684018533552	0.20749448656295377	0.21646034327688457	0.20081525058224203
G000715205	0.18039372454331148	0.18014334273862942	0.1929651387025768	0.21200325796739594	0.24023901843713757	0.17892478797833045	0.07225374578475252	0.20191117648963886	0.0	0.18993981231191792	0.18039372454331148	0.19256783715906944	0.17775829698374046	0.07209364207142954	0.06953887411798687	0.19419357474022803	0.21041294301092828	0.19217632301500154	0.07164042079203903	0.1798952390351396	0.18064642733961156	0.18064642733961156	0.07075548089290218	0.18141890931546312	0.18275718116330775	0.06863462460890979	0.18888751656182956	0.18141890931546312	0.1914099891957548	0.18194634616898941	0.07164042079203903	0.1853458454503889	0.07234802779549654	0.18303292269877824
G000740655	0.17577633459464348	0.1420934835652914	0.14260601341361945	0.215506110747391	0.2230622378091801	0.060609831129602276	0.18820810857879489	0.2054996839209604	0.18993981231191792	0.0	0.14184065309465477	0.14222074959547615	0.06120740055833507	0.1844552421527602	0.18854567604447092	0.19637495390973458	0.21955230011181248	0.14234858972412245	0.1868984853325918	0.14091212430619782	0.1406695655004625	0.14019058038045473	0.18658075319529022	0.14030957098654495	0.14085128992641105	0.18854567604447092	0.05570928879132442	0.14097308941175524	0.14312798665532933	0.18039372454331148	0.1868984853325918	0.06091246323686317	0.1892337414782933	0.14241272671812144
