sample	G000024125	G000153165	G000173115	G000186265	G000190595	G000220585	G000224085	G000382125	G000424985	G000429545	G000468615	G000621125	G000733925	G000744105	G000744555	G000745185	G000799565	G000963865	G000973105	G001020565	G001306415	G001413955	G001430825	G001438225	G001438245	G001439215	G001447995	G001683915	G001748465	G001865655	G900101815	G900105105	G900105545	G900112295	G900115205	G900129275	G900129665	G900141855	G900141935	G900142405	G900155985
G000024125	0.0	0.25032739712314855	0.2540646815797966	0.25679841961194677	0.26134636238934894	0.25032739712314855	0.24487030299906193	0.24387441170917884	0.259763879839835	0.2705465964056736	0.2554048540682841	0.25824977450996206	0.25679841961194677	0.2540646815797966	0.2540646815797966	0.24695180159311642	0.259763879839835	0.23600095160808876	0.25032739712314855	0.25277398811388824	0.2540646815797966	0.2515292739222348	0.2515292739222348	0.31472969111881766	0.29765825173925414	0.29340041528679317	0.2540646815797966	0.25032739712314855	0.25679841961194677	0.2540646815797966	0.25277398811388824	0.2540646815797966	0.2540646815797966	0.24804110220606163	0.221504052540721	0.259763879839835	0.24804110220606163	0.24804110220606163	0.29765825173925414	0.24804110220606163	0.2540646815797966
G000153165	0.25032739712314855	0.0	0.24196423501054654	0.23300324593415367	0.23522688451442308	0.24487030299906193	0.24487030299906193	0.23928233383173397	0.24104708882695847	0.25824977450996206	0.2302443287251323	0.22530991301930137	0.23600095160808876	0.22308403571550944	0.22768917077641476	0.24804110220606163	0.2315963224805665	0.25032739712314855	0.2302443287251323	0.22308403571550944	0.23928233383173397	0.23446971505431574	0.227078825202033	0.29340041528679317	0.27502618126225475	0.2705465964056736	0.21999330029530456	0.2540646815797966	0.23522688451442308	0.21950408193110527	0.23843246437889046	0.21999330029530456	0.2220227138632897	0.2540646815797966	0.25277398811388824	0.24196423501054654	0.24387441170917884	0.2295876311134548	0.26474307245459094	0.2540646815797966	0.22362719495637828
G000173115	0.2540646815797966	0.24196423501054654	0.0	0.24015351274755414	0.2309137268087866	0.2554048540682841	0.259763879839835	0.24916552656629032	0.2540646815797966	0.2685038067179094	0.23600095160808876	0.24290621861234085	0.24487030299906193	0.2376028938731073	0.24804110220606163	0.26474307245459094	0.2315963224805665	0.25679841961194677	0.24695180159311642	0.24290621861234085	0.25032739712314855	0.25032739712314855	0.23522688451442308	0.01419438393760785	0.01652028680086755	0.015473704375281946	0.24015351274755414	0.27502618126225475	0.24589551138481144	0.24015351274755414	0.25277398811388824	0.24015351274755414	0.24104708882695847	0.2685038067179094	0.25277398811388824	0.24804110220606163	0.25679841961194677	0.25824977450996206	0.2665731647423279	0.2685038067179094	0.2376028938731073
G000186265	0.25679841961194677	0.23300324593415367	0.24015351274755414	0.0	0.21411896442211983	0.2515292739222348	0.2630036391713902	0.24695180159311642	0.24015351274755414	0.24804110220606163	0.10948741649340515	0.227078825202033	0.23600095160808876	0.221504052540721	0.22768917077641476	0.2630036391713902	0.19686169526089048	0.25679841961194677	0.23372872630823713	0.24196423501054654	0.24589551138481144	0.24804110220606163	0.22099307680134495	0.29765825173925414	0.28616462609015925	0.27271525557875004	0.22894316436378453	0.2685038067179094	0.23446971505431574	0.22831048438203644	0.24589551138481144	0.2309137268087866	0.22768917077641476	0.2647430724545912	0.25679841961194677	0.23446971505431574	0.25032739712314855	0.24387441170917884	0.24804110220606163	0.26474307245459094	0.22308403571550944
G000190595	0.26134636238934894	0.23522688451442308	0.2309137268087866	0.21411896442211983	0.0	0.24589551138481144	0.2554048540682841	0.24487030299906193	0.24290621861234085	0.24695180159311642	0.21132769340249682	0.23372872630823713	0.2302443287251323	0.21902171292155767	0.23600095160808876	0.2515292739222348	0.2171570866000881	0.2630036391713902	0.24487030299906193	0.24104708882695847	0.24104708882695847	0.25277398811388824	0.22831048438203644	0.25824977450996206	0.25277398811388824	0.24916552656629032	0.2264790698474739	0.2630036391713902	0.2302443287251323	0.22588954604893946	0.24804110220606163	0.21999330029530456	0.21854600549525616	0.26134636238934894	0.25679841961194677	0.2315963224805665	0.25679841961194677	0.24695180159311642	0.2515292739222348	0.26134636238934894	0.22362719495637828
G000220585	0.25032739712314855	0.24487030299906193	0.2554048540682841	0.2515292739222348	0.24589551138481144	0.0	0.22588954604893946	0.25032739712314855	0.25679841961194677	0.2685038067179094	0.24804110220606163	0.25032739712314855	0.25679841961194677	0.24104708882695847	0.24487030299906193	0.2295876311134548	0.2540646815797966	0.23446971505431574	0.24804110220606163	0.2376028938731073	0.23300324593415367	0.23446971505431574	0.24104708882695847	0.29765825173925414	0.28303432754927754	0.2801585303255706	0.24290621861234085	0.24104708882695847	0.25679841961194677	0.24387441170917884	0.2540646815797966	0.24487030299906193	0.24695180159311642	0.2315963224805665	0.25032739712314855	0.25824977450996206	0.2295876311134548	0.24387441170917884	0.277499188555449	0.2315963224805665	0.24387441170917884
G000224085	0.24487030299906193	0.24487030299906193	0.259763879839835	0.2630036391713902	0.2554048540682841	0.22588954604893946	0.0	0.24387441170917884	0.2685038067179094	0.2801585303255706	0.2630036391713902	0.2540646815797966	0.2554048540682841	0.24916552656629032	0.24695180159311642	0.1812410166013386	0.2554048540682841	0.2322926425508592	0.24196423501054654	0.23843246437889046	0.2289431643637843	0.21626133018981913	0.24804110220606163	0.31472969111881766	0.29765825173925414	0.29765825173925414	0.25032739712314855	0.1481762355126993	0.2554048540682841	0.2515292739222348	0.25277398811388824	0.2515292739222348	0.25277398811388824	0.17463982483696103	0.24387441170917884	0.25277398811388824	0.20504606829031963	0.24487030299906193	0.28616462609015925	0.17463982483696103	0.2540646815797966
G000382125	0.24387441170917884	0.23928233383173397	0.24916552656629032	0.24695180159311642	0.24487030299906193	0.25032739712314855	0.24387441170917884	0.0	0.2554048540682841	0.2665731647423279	0.24804110220606163	0.24695180159311642	0.24487030299906193	0.24104708882695847	0.24695180159311642	0.24589551138481144	0.24387441170917884	0.24387441170917884	0.24290621861234085	0.24387441170917884	0.24804110220606163	0.24387441170917884	0.24196423501054654	0.28959844070349505	0.29340041528679317	0.24387441170917884	0.24196423501054654	0.2554048540682841	0.24487030299906193	0.24015351274755414	0.24487030299906193	0.24196423501054654	0.24196423501054654	0.2540646815797966	0.24290621861234085	0.24290621861234085	0.24695180159311642	0.24487030299906193	0.27271525557875004	0.2540646815797966	0.24387441170917884
G000424985	0.259763879839835	0.24104708882695847	0.2540646815797966	0.24015351274755414	0.24290621861234085	0.25679841961194677	0.2685038067179094	0.2554048540682841	0.0	0.10474171702527374	0.23928233383173397	0.2515292739222348	0.2076969478389794	0.24916552656629032	0.24589551138481144	0.259763879839835	0.21950408193110527	0.2685038067179094	0.24487030299906193	0.24290621861234085	0.2515292739222348	0.25032739712314855	0.23446971505431574	0.28959844070349505	0.28959844070349505	0.277499188555449	0.24290621861234085	0.26134636238934894	0.20804320659494382	0.24290621861234085	0.2515292739222348	0.24695180159311642	0.24589551138481144	0.2665731647423279	0.25824977450996206	0.2117128250395218	0.25824977450996206	0.24916552656629032	0.18617972871801677	0.2665731647423279	0.24804110220606163
G000429545	0.2705465964056736	0.25824977450996206	0.2685038067179094	0.24804110220606163	0.24695180159311642	0.2685038067179094	0.2801585303255706	0.2665731647423279	0.10474171702527374	0.0	0.25032739712314855	0.259763879839835	0.20910347295913106	0.2540646815797966	0.2515292739222348	0.2647430724545912	0.20113337708809786	0.2665731647423279	0.25032739712314855	0.25824977450996206	0.2630036391713902	0.26134636238934894	0.23679268185685898	0.30249514835156255	0.31472969111881766	0.2801585303255706	0.2540646815797966	0.2685038067179094	0.20910347295913106	0.2554048540682841	0.25824977450996206	0.2554048540682841	0.2540646815797966	0.2705465964056736	0.27271525557875004	0.21626133018981913	0.26474307245459094	0.2554048540682841	0.1973673209234726	0.2705465964056736	0.18673421654113245
